Flash Appeal,,,,,,,,,,Update,,,,,,,,,,Funding,,,,,,,,,,,,,
Total Population(Flash Appeal),People Affected(Flash Appeal),People Affected - IDPs,People in Need(Flash Appeal),PiN - IDPs,People Targeted(Flash Appeal),People Targeted - IDPs,Requirements (US$)(Flash Appeal),Projection Time Frame (Flash Appeal),Flash Appeal URL,Refugees(UNHCR),IDPs,Civilian casualities(OHCHR) - Killed,Civilian casualities(OHCHR) - Injured,Attacks on Education Facilities,Attacks on Health Care,Number of Organisations,Number of People Reached,Date,Source URL,Ukraine Flash Appeal 2022 - Required (US$m),Ukraine Flash Appeal 2022 - Funded (US$m),Ukraine Flash Appeal 2022 - % coverage,Ukraine Humanitarian Response Plan 2022 - Required (US$m),Ukraine Humanitarian Response Plan 2022 - Funded (US$m),Ukraine Humanitarian Response Plan 2022 - % coverage,Ukraine Regional Refugee Response Plan 2022 - Required (US$m),Ukraine Regional Refugee Response Plan 2022 - Funded (US$m),Ukraine Regional Refugee Response Plan 2022 - % coverage,CERF - Contributions (US$m) ,CERF - Allocations (US$m) ,Ukraine Humanitarian Fund - Contributions (US$m),Ukraine Humanitarian Fund - Allocations (US$m),FTS URL
41400000,18000000,6700000,12000000,4300000,6000000,2100000,1100000000,MARCH – MAY 2022,https://reliefweb.int/sites/reliefweb.int/files/resources/Ukraine%20Flash%20Appeal%202022.pdf,1000000,N/A,249,553,N/A,N/A,,,3/3/2022,https://reliefweb.int/report/ukraine/ukraine-humanitarian-impact-situation-report-300-pm-eet-3-march-2022,1139900000,60300000,0.053,190300000,18300000,0.096,550600000,NA,0,NA,15500000,11700000,NA,https://fts.unocha.org/countries/234/summary/2022
,,,,,,,,,,1200000,N/A,331,675,N/A,N/A,,,3/4/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/Ukraine%20Humanitarian%20Impact%20Situation%20report%204%20March.pdf,,,,,,,,,,,,,,
,,,,,,,,,,1300000,N/A,351,707,N/A,N/A,,,3/5/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/Ukraine%20Humanitarian%20Impact%20Situation%20Report_5%20March_0.pdf,,,,,,,,,,,,,,
,,,,,,,,,,1500000,N/A,364,759,N/A,N/A,,,3/6/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-06_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf,,,,,,,,,,,,,,
,,,,,,,,,,1700000,N/A,406,801,N/A,N/A,,,3/7/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-07_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf,,,,,,,,,,,,,,
,,,,,,,,,,2000000,N/A,474,861,N/A,N/A,,,3/8/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-08_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf,,,,,,,,,,,,,,
,,,,,,,,,,2100000,N/A,516,908,N/A,N/A,,,3/9/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-09_Ukraine%20Humanitarian%20Impact%20SitRep.pdf,,,,,,,,,,,,,,
,,,,,,,,,,2300000,N/A,549,957,N/A,N/A,,,3/10/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-10_Ukraine%20Humanitarian%20Impact%20SitRep.pdf,,,,,,,,,,,,,,
,,,,,,,,,,2500000,N/A,564,982,N/A,N/A,,,3/11/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-11_Ukraine%20Humanitarian%20Impact%20SitRep_final_0.pdf,,,,,,,,,,,,,,
,,,,,,,,,,2600000,N/A,579,1002,N/A,N/A,,,3/12/2022,https://reliefweb.int/sites/reliefweb.int/files/resources/2022-03-12_Ukraine%20Humanitarian%20Impact%20SitRep_final.pdf,,,,,,,,,,,,,,
