,text
96,breaking  ukrainian journalist  ian pound was found shot today in kiev  ukraine  he was known for exposing many of russia s heinous war crimes  may he rest in peace   russiaukraineconflict  russia  ukraine  russiaukrainecrisis 
273, war and piss    ukraine  russia  ukrainerussiaconflict  putin  biden 
473,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
600,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
867,the world must act immediately    ukraine is at stake   to do list     devastating sanctions on  russia now  including swift    fully isolate russia by all means  in all formats    weapons  equipment for ukraine    financial assistance    humanitarian assistance
912,rt  spread and share  you can help ukraine  ukraine  russia 
1144,breaking  ukrainian journalist  ian pound was found shot today in kiev  ukraine  he was known for exposing many of russia s heinous war crimes  may he rest in peace   russiaukraineconflict  russia  ukraine  russiaukrainecrisis 
1325,spread and share  you can help ukraine  ukraine  russia 
1537,  nato should have upheld promise  yrs ago they made with gorbachev  amp  yeltsin  not take  ukraine  amp  encroach towards  russia borders   nato     either stupid  amp  ignorant or arrogant  amp  ambitious   nato wer warned ther would b war   amp  it started in      you          provoked this 
1578,footage of the airport bombing in ivano frankivsk   ukraine  russia 
2110,ukranian frontline casualties   russia  ukraine 
2299, breaking   russia announces military action against ukraine      russiaukraineconflict  russiaukrainewar  stockmarketcrash  ukraine  ww   wwiii   
2467,spglobalcomplatts has published   crude prices climb as russia   amp apos  invades  amp apos   ukraine   on        crudeoil  energy  russia   
3091,as you know   russia declares war against  ukraine  this also makes us realise how useless the world peace keeping organisation un is   if you want to survive in this world  be militarily and economically strong and never depend on any such bogus toothless organization  
3667,  combat footage    village near ukrainian border   ukraine  wwiii  ukraina  putin  wwiii 
3799,time for the west to pull their collective heads out of the sand and deal with this unprovoked and belligerent  russian action swiftly and comprehensively  just who the hell does  putin think he is  the world needs to side with  ukraine through unilateral military action
4549,   ukraine   it s sounding more like an israeli    terror cell retreated on the ukrainian russian border 
4569,mr  putin needs to  de nutsify  himself   ukraine
4821,from  journalist and russia expert luke harding in kiev  ukraine 
4995,  nato   toothless tiger
5004,if you are a ukrainian artist   share your profiles  twi  insta  tiktok  or commissions info in this post     lets support each other    ukrart  ukraine  ukrainianart 
5068, russia has now created a new front in northern  ukraine with assistance from  belarus   this is part of the plan to carry out a double envelopment of ukrainian forces in the east  amp  isolate  kyiv
5263,  a naval base of the ukrainian navy is burning near odessa    ukraine 
6390,years of appeasement by the west have emboldened putin  he has gone as far as deploying chemical weapons on british soil  in the form of novichok  to kill his enemies  and suffered no consequences   ukraine
6493,maybe the germans should head east  they haven t been there for a while  just need to get out before winter  need to learn from  napoleon   russia  ukraine  russiaukraineconflict  biden
6689,joe biden preparing himself to go to war with putin in world war      putin  biden  worldwar   wwiii  russiaukraineconflict 
7104,look at the nerve on the indian government smh   russia  ukraine  russiaukraineconflict  india 
7367,putin sending russian attack planes  ukraina  ukraine  putin  russia 
7417,spread and share  you can help ukraine  ukraine  russia 
7510,as governments around the world respond to russia s aggression  the british prime minister is already being accused of being too soft  at the centre of intrigue is rich and powerful russian business leaders wielding huge political power    russia   news 
7853,wasn t it adolf hitler who used the excuse of germans living in czechoslovakia to annex and invade that country    putin  ukraine  russia
8194, britain and  usa gave guarantee to  ukraine to protect it from enemy  if  ukraine surrendered its   neuclear weapons  today  ukraine must be regretting on that decision  russiaukrainewar  putin  imrankhaninrussia 
8313,  usa  hegonomy want to sabotage  russia s  nordstream  gas supply to  via  ukraine   america us   is flailing  biden admin need a war its all about  nordstream   amp   usa supplying gas to  germany  amp   europe  amp  cutting    off from trading w  russia  amp   china  via  ukrainerussiaconflict 
8454,ukranian frontline casualties   russia  ukraine 
8944, there is no justification for this aggression  whose cost will be borne by innocent ukrainians    scott morrison   marise payne have released a statement on russia s invasion of ukraine   australia will impose sanctions on an additional   people   auspol  ukraine  
9671,it was trump who ultimately weakened world alliances  amp  pushed pro russian sentiment enough to give putin extra confidence for a war on  ukraine   trump gained power becos of murdoch   join the dots   newscorpse is one of the biggest players in the atrocities  amp  bloodshed to come 
9861,every u s  recession since   has been preceded by two things  an  oil price shock and an increase in the federal funds rate  source  fed policy paper       brent crude     to    this morning as  russia attacks  ukraine 
9885, natural gas  is a marketing term used to make methane sound less obnoxious  its time to give gas the title  conflictgas which better reflects its place in the world today    natgas  lng  ukraine 
10489, happeningnow massive traffic jam seen leaving the center of  kyiv headed west   ukraine  breaking 
11016, russia is a disgrace to  earth 
11535,   what is going on  consequences now    putin  murdoch  trumpisatraitor 
11846,australia s top cyber security agency is warning domestic businesses to up the ante in monitoring for cyberattacks from russia   cyberattack  russia  artificialintelligence  
12196,rt  spread and share  you can help ukraine  ukraine  russia 
12415,it s happening      ukraina  ukrainerussie  ukrainerussiaconflict  russia  worldwar   
13521,ukraine   russia   war   videos of the morning attacks carried out by russia on ukraine        russia  ukraine  war 
13707,russian missile strikes and invasion of ukraine accelerating   digital journal  well  here it comes   ukraine
14224,let s just call it ww      ukraine
14674,    moex  russia index slumps     most on record   bbg
14957,smoke rising on live feed in kharkiv  ukraine 
15166,spread and share  you can help ukraine  ukraine  russia 
15190, worldwar  william afton has joined the party  
15200, ukraine s ambassador to the united nations  sergiykyslytsya also addressed on wednesday  following the announcement of a military operation in eastern ukraine  
15216, russia invades  ukraina   no demonstrations in the streets   israel defends herself against  hamas rockets and theirs world condemnation  stopjewhate
15680, russia vs  ukraine  conflict simplified  ukraine forgot what they signed in   when the  ussr was breaking up   they signed that ukraine will never try to join  nato   and they re trying since success of the  orangerevolution in   and yet more after the  revolutionofdignity 
15709,the national police of ukraine reports a breakthrough of  russian troops deep into the  chernihiv and  kharkiv regions    russia  ukraine    
15840,results of russian airstrikes in the odessa region   ukraine  russia 
15856,this   ukraine  russia  putin 
16080,with its attack on ukraine   russia violates the most basic and important rules of the international order  the international community will not forget this day of shame  in close coordination with our partners  we will respond  we stand in solidarity with  ukraine   
16120, breaking  the naval arm of  russia s military build up around  ukraine is in place  landing ships  major warships  submarines and aircraft effectively dominate the  blacksea    ukraine has requested  turkey close  bosphorus and  dardanelles straits access to russian warships  
16233,the traffic in  kyiv this morning as  russia launches the invasion of  ukraine  many are out to fill their cars  others leaving the city  fearing russian troops will make their way to the capital        
16241,  kenya made a statement which will go down in history  africa will not accept  putin s imperialism and  bogus justifications  time for the west to step up to what africa s son from kenya stated  viva  africa viva 
16499, ukrainecrisis   india considering alternate evacuation routes as ukraine  russia conflict escalates  track updates here   
16622,spread and share  you can help ukraine  ukraine  russia 
16718,  nato provoking the situation as they expanded towards the  russia borders last  yrs  funny how all  nato member states are washing their hands of  complicity  in this  ukrainerussiaconflict  like glue  it doesn t wash off history will reveal itself 
16866,who is the  atlanticcouncil      frightening facts    by     medium    guy named   with atlantic council speaking in twitter space   ukraine  russia 
16929,this   ukraine  russia  putin 
16947,military action is underway in ukraine  there have been reports of explosions in kyiv and other parts of the country  do not attempt to cross into ukraine from bordering countries   poland  slovakia  hungary  romania  moldova  belarus  russia  read more   
16958,the west  amp  europe watched russia bomb syria every day and instead of helping nato ally t rkiye they hindered them so good luck now morons    ukraine   russia  kyivnotkiev
17482,the worst part about this to me is seeing the lights turn on after the explosion  i hope the civilian casualties are minimal   kyiv  russia  ukraine 
17738, ukraine     thousands leaving  kyiv  leading west where they hope it s safe r  
18803, wwiii so i been watching live streams of the city  i have yet to see anything   the only reports i m seeing is  heard bombs  or  according to our sources     if this was an all out war  it would be extremely visible  not to mention  cnn is all over it  what a good ratings boost 
19274,a ukrainian man mourns near the body of another man   believed to be his son   killed in the russian artillery strike on the apartment building shown above    two of the people of the donbas that putin claimed to be  protecting  from the ukrainian government   ukraine 
20104, donbass  khodakovsky reports that  ukraine had concentrated the vast majority of their functional forces around the line of separation with  lpr and  dpr  which serve well  russia n raids deep into their rear  donbass must now fetter these ua forces to facilitate ru operation 
20457,in  brussels  eu commission prsdnt ursula von der leyen  amp  osce high representative josep borrell just spoke now but are missing the point   we imposed sanctions on  russia to dry its resources and prevent a war   putin has    billion in reserve  amp  plenty of resources  still 
20679,breaking  russian military paratroopers landed in ukraine  near kharkov         ukrainerussiaconflict  ukraine  russia  wwiii  ww   kiev 
20812,footage of the airport bombing in ivano frankivsk   ukraine  russia 
20992, odessa  ukraine ian naval base in  ochakov obliterated   russia  ukraine  denazification 
21049,vinnytsia  warehouses of the ukrainian armed forces    ukraine  russia 
21097,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
21118,   attention pls              ukraine  russiaukraineconflict  russia   
21343, russia shelled a military unit on the territory of kyiv  there are victims  according to the service for emergency situations of  ukraine  
21503,this   ukraine  russia  putin 
21683,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
21750,this   ukraine  russia  putin 
22061,russian missile flies over a journalist   ukraine  russiaukraineconflict 
22715,spread and share  you can help ukraine  ukraine  russia 
22814,as you listen to scott morrison speaking right now pretending to care about people of  ukraine and protecting them from war  remember    this man jails victims of war   this man jails victims of war  they are mainly muslim  amp  people of colour so he doesn t see them as worth saving 
22868,there will be an avalanche of fake news and disinformation from today onward   ukraine  russia 
23225,the so called  freedom fighters are comparing the current foreign invasion of the  ukraine with events that happened in australia  not only insensitive but shows their desperate attempts to stay  relevant    maybe they should be sent to the front line in to fight for freedom  
23317, russia shelled a military unit on the territory of kyiv  there are victims  according to the service for emergency situations of  ukraine  
23458,  rt  amp  share    guys  if you see a video starting like this in your timeline scroll it right away  there s a dea d body and blood  stay safe everyone in ukraine  we stand with you   ukraine  standwithukraine  prayforukraine 
23687,consequences of russian shelling of ukrainian base near odesa  there are casualties   ukraine  odesa 
23748,ukranian frontline casualties   russia  ukraine 
23854, breaking  ukraine has requested turkey close bosphorus and dardanelles straits access to russian warships    ukrainerussiaconflict  ukrainerussiacrisis  breakingnews  kyiv   russiaukraineconflict  ukraine  russia 
23900,this   ukraine  russia  putin 
24224,ukrainian residents queue at banks in  kiev    nato  russiaukraineconflict  russia  kramatorsk  russian  ukraine  ukraina  ukrainerussiaconflict  ukrainerussia  ukrainerussiacrisis  worldwariii  worldwar  
24423, russia commands  deploys  strikes and shells kyiv  ukraine    russia   ukraine 
25022,millennials after going through three economic crises  earthquakes  pandemic and now world war iii   all before the age of     ww   worldwariii  russiaukraineconflict  kiev 
25033,on   suggesting that putins actions were unplanned is ludicrous  putin is well known to be one of the most calculating planners currently on the world stage  a little bit of reading would tell you that   auspoll  putin
25056,alarm sirens in kiev   war  russia  ukraine  kiev 
25596,kharkiv  victims of russian shelling   ukraine  russia 
25973,one wonders why  russia president has little man syndrome  it seems all warmongers through history have this affliction  istandwithukraine this is not a man who cares about humanity  
26348, we stand on the brink of ww   one man tells us how to turn back    join  ahmadiyya muslim community in its  stopww  campaign to make a difference            ukrainerussie  ukraine  wwiii  russia 
26522,un can only show it s existance by tweeting for rana  where it really needs to show it s existance  it cant  becoz nobody gives them a heed  proves it has lost it s credibility   ukrainerussiacrisis
26908, russia s airborne forces are attempting to take control of the airport in  kyiv to they can fly in forces to occupy the capitol city  an amphibious assault on the key port city of  mariupol is now underway   ground forces now moving in from belarus crimea  amp  from  russia
27190,live footage of nato hitting russia with their most severe sanctions for their actions against ukraine  russiaukraineconflict 
27252, breaking   another ballistic missile has been launched by russian forces into ukraine s second large city  kharkiv    ukrainerussiacrisis  russiaukraineconflict  ukraineconflict  ukrainecrisis  wwiii 
27270,this   ukraine  russia  putin 
27324,it is war that creates refugees   it is war that creates refugees   you can t be against war but then refuse to protect  amp  take refugees   it is swift action that is needed not just for the people of  ukraine but for refugees who are victims of war around the world needing asylum
28060,take ya time ans go through the thread  ukraine  russiaukraineconflict 
28210,   russia embassy said     lavrov     russia is not threatening anyone  amp  doesn t want to  yet we r being threatened with  catastrophic consequences   amp   unprecedented sanctions   have u ever heard us say anything of this kind     ukraine minsk talks failed  
28369,usa nato helping ukraine like    ukrainerussiacrisis  russiaukraineconflict 
28619,unconfirmed video  russian military  paratroopers land in ukraine  near  kharkov   sources   russia  ukraine  ukrainewar  russiawar  nato   russiaukraineconflict  russia  ukraine  russiarockets  russia  kramatorsk  russian  ukraine  ukrainerussiacrisis  worldwariii  worldwar  
29069,if the german government is to remain limp with minor sanctions on  russia maybe it s time the corporate sector steps up and banda together blocking the export of all quality products into russian territories         ukraine
29657,footage of the bombing of the airport in ivano frankivsk   russia  ukraine  nato   russiaukraineconflict  russia  ukraina  ukrainerussiaconflict  ukrainerussia  ukrainerussiacrisis  worldwariii  worldwar  
29814,with its attack on ukraine   russia violates the most basic and important rules of the international order  the international community will not forget this day of shame  in close coordination with our partners  we will respond  we stand in solidarity with  ukraine   
30478, the end of the cold war marked the end of the bipolar world  we are experiencing the end of the unipolar world  a new multipolar world is just born from the fires of war     alexander dugin  the world s  most dangerous philosopher   eurasia  putin  dugin  multipolar  wwiii 
30518,video of mizhnarodnyy aeroport in mariupol  the person filming says it all bombed  footage shows the airport infrastructure destroyed     ukraine  mariupol  russia   knish  
30645,russian rocket artillery attack on ukraine   massive attack by russian forces    russiaukraineconflict  russia  ukraine  russiarockets  russia  kramatorsk  russian  ukraine  ukraina  ukrainerussiaconflict  ukrainerussia  ukrainerussiacrisis  worldwariii  worldwar  
31414,i was jake sullivan s colleague at the clinton campaign  and i know half the senior people around biden and harris    and i m concerned as fuck tonight   interpret that as you will     ukraine  russianinvasion
32203,people hiding in kyiv metro  ukraine 
33372, what everyone has to watch is  taiwan because what happens to  china will determine what happens to  russia  taiwan is not an easy piece of ground to take  it would require the largest naval activity in human history and it would cause significant damage to china s power base   
33414,spread and share  you can help ukraine  ukraine  russia 
33553,prayers go out to the people of ukraine  hoping that both sides resolve this peacefully         russiaukraineconflict  vladimirputin  ww   twitter  trending 
33947, dear  cuba   america is not the one invading a neighbour   russia is  perhaps you could have a chat with putin  he seems to think he has a god given right to invade neighbours  kill people 
34334, estonia unequivocally condemns  russia s military attack on  ukraine and we have decided to launch  nato consultations under article   of the north atlantic treaty with latvia  lithuania  poland and other allies    
34343,make no mistake   putin s aggressions tonight are a result of almost total impunity granted to him for years    from domestic killings  chemical weapon poisonings       civilians killed in  syria  pmcs running rife across  africa  amp  more   this is on us  we fed his megalomania  
34483, russia launches broad attack on  ukraine in  dark day  for europe   
34945, russiainvadesukraine with  putinonthemarch he has signalled that  ukraine is  russia s to take   putin knows there is nothing the west   nato or  can do or will do that will have any real impact in halting his actions  he knows they are weak and lacking resolve   cowards
35096,as a state premier  daniel andrews shouldn t be interfering in international affairs  he should focus on victoria and the damage he s caused  he s using this as a distraction for his corruption and scandals   sackdanandrews  russiaukraineconflict  russia  ukraine 
35128,one of the best decisions my grandparents made was to flee  russia  they escaped czarist persecution and their descendants avoided communism  and totalitarianism under the murderous  putin  solidarity with the people of  ukraine as they fight for their freedom and independence 
35503,we  the foreign ministers of lithuania  estonia  and latvia  condemn russia s open large scale aggression against an independent  peaceful  and democratic state of  ukraine    in the strongest possible terms   full joint statement      standwithukraine 
36123,covid  about to          world war iii       be over                         started    wwiii 
36835,    ukraine     russian missile slamming into the airport of  ivanofrankivsk   
37555, putin is calling the west an  evil empire   and we say  putin look into the mirror on your wall and say  mirror mirror on the wall who is the most evil of us all 
37797,i am getting so sick of people comparing  putin    hitler  hitler wanted world domination   putin wants respect   what his nation has achieved  he also wants fair compensation   the resources  russia sells   the world  he is  yes  ruthless  but not stupid   gas  oil  minerals
37858,this   ukraine  russia  putin 
37975, president  putin is responsible for bringing war back to europe    warineurope 
38371, putin declaring that  russiaukraineconflict will  de nazify  ukraine is unforgivably offensive to the historical facts of nazi atrocities in the  ukraine   my step grandmother was taken by the nazis after kiev fell and was a slave domestic worker  lived in the basement of a  
38907,uk to introduce  unprecedented  level of sanctions on russia   foreign office  russia  russiaukraineconflict
40319,my heart is breaking watching the footage and seeing the stories coming out of  ukraine   such a devastating loss of life already   sending all my prayers and hopes to those in ukraine  that you and your families remain safe     
40932,we did it  joe  we destroyed another country  after afghanistan  its  ukraine  yey  people are such fools that they didnt realise we empowered  putin  amp  put blame on trump   what s next  how about turkey  shall we destroy it next  or may be  nato itself  tell me your plan joe  
41409, russia  markets now trading below march   lows        
41896, putin to long term  investors     put your buy order now  i can t give you a better opportunity than now 
43253,pakistan s prime minister  imrankhan is ending his two day visit to  moscow  hours after  russia began a military operation in ukraine    
43338, watch   presents a special edition of   news  after russia announced an invasion of ukraine    full bulletin      newsau  russia  ukraine    
43437,gold soars over    as russia attacks ukraine   gold  ukraine  russia 
43647, ukraine  auspol      putin  russia   this is such a horrid act of aggression    the lessons of history mean nothing  
44030,how s  you could say he s happy about the  ukrainerussiacrisis it s made him think he looks like a leader  it does not   for me  anytime for anything   votethemallout   alboforpm  auspol   auspol
45001,here is my full statement on russia s full scale attack against ukraine      russia must stop immediately  the people of ukraine   you have our unwavering support   standwithukraine       
45156,ukrainian air force su   plane made an emergency landing at bacau air base  romania  ukraine  wwiii 
45416,pro kremlin fabricated make believe failed to convince anyone but the audience of one  grotesque kremlin farce turned into a bloody tragedy   dontbedeceived  standwithukraine  
45596, atms aren t working  not enough money in that  look at the crowd that gathered   panic    a woman tells us outside kyiv atm station where a line of people waited to take out cash    ukraine  ukraina  ukrainerussiacrisis 
46107,here is my full statement on russia s full scale attack against ukraine      russia must stop immediately  the people of ukraine   you have our unwavering support   standwithukraine       
46309,zelensky said  ukraine broke off diplomatic ties with  russia  calls on russian to protest against the war 
46578,united nations security council has convened an urgent meeting to discuss delay in coconut water delivery to rana ayyub today morning    russia  ukraine  invasionday
46618,rt  spread and share  you can help ukraine  ukraine  russia 
47753, russia official statement  russia is not conducting any strike against  ukraine ian cities  only military installations  bases  military infrastructure  military aerodromes  antiaircraft defence infrastructure  and air forces are being targeted    russia  ukraine  denazification
47893,in  berlin   germany  several hundred people joined a rally tonight outside the embassy of  russia to  protest against russian aggression towards  ukraine    
48261,i don t think i have ever felt so dismayed at our decay of  leadership in the  west as we are seeing now  we allowed  putin to take over  crimea and  syria   now  ukraine and all we do is impose sanctions   munich   revisited  western leaders are the new neville chamberlains 
48277,had  not continued to push at the  coldwar wound that is  nato expansionism   putin would not have invaded    biden  and his  us  imperialism  would be the  fuckhead  and we still have this  fuckhead running our country  so we re hypocrites   ididntvoteforhim  auspol  uspol  
51078,while  russia launches military attacks on  ukraine   china remains relatively low key with its official position on the crisis  i talked to   and  about what might be behind  beijing s recent comments  
51079,    video that s being shared on social media showing missile strike in myrhorod in poltava region   ukraine  russia  putin 
51107,a snapshot of ukraine airspace  ukraina  russia  russianinvasion   russiaukrainecrisis  worldwar  
52171, russia bomb kills kid on bike  ukrainerussiacrisis  ukrainecrisis  biden 
52486,bad move by prime minister  imrankhan by visiting  russia during standoff with  ukraine   pakistan s actions by taking a position will attract global sanctions     
53765,  agree  i ve written a piece on the great people of this proud  progressive  amp  peace loving country  it s called  they want their independence  the pain of ukraine    ukrainerussie  ukrainerussiacrisis  ukrainecrisis 
54126,seeing a lot of people tweeting the  worldwar  deal and whatnot   dude if ww  actually kicked off proper and the nukes started dropping nobody would have the time to tweet jack shit 
55482,these are horrific weapons to inflict on people in confined urban settings  they emit a gas with a temp of     to     c and a pressure of     psi  all weapons kill  but these are monstrous   russiaukraine 
55919, worldwar  aren t these countries in the eyes of the western world   is the impression of world war iii clear only in the case of an attack on a european country or a western country   putin  ukrainerussiacrisis   ukraina  russiaukraineconflict  worldwar   russiaukraine  russia 
56147, estonia unequivocally condemns  russia s military attack on  ukraine and we have decided to launch  nato consultations under article   of the north atlantic treaty with latvia  lithuania  poland and other allies    
57302,journalists today  including me      ukraine  covid 
57324,  air raid sirens in my home city lviv in  ukraine  lviv is located approx   miles from poland  
57517,  information for foreigners in ukraine    do not share photos videos of ukrainian army moving around  do not uncover their plans and do not talk to people on the street  this all might affect our army   rt and spread the message  standwithukraine  ukraine  breaking
58266,same on those people who make  memes on this situation they dont know pain of ukrain peoples i hope  this stop and everyone live like before peacefully killing each other is not a good thing  russiaukraineconflict  worldwar   wwiii  ukraine  russian  russia  putin  biden  stopwar 
58865,i strongly condemn  russia s reckless attack on  ukraine  which puts at risk countless civilian lives  this is a grave breach of international law  amp  a serious threat to euro atlantic security   nato allies will meet to address russia s renewed aggression  
59283,putting this out there for anyone who wants to know more about  putin and his motives  particularly the revelations contained in his recent speeches  i haven t fact checked it but it sounds very well researched and presented 
59487, unless the us    decides to lock heads with  russia or unless the opportunist  china plays some trick with taiwan  i don t see any more escalation in tensions from here on   come march  amp  it will be business as usual    stockmarkets  nifty   views welcom  
59600, breaking  urgent     ukraine is being hit by a second wave of missile strikes by  russia   military command
59683,government in  ukraine will issue weapons to anyone with a passport if they want to fight the invasion from  russia  
59898,fuck  putin  piece of shittt  putinspuppet  putinisawarcriminal  putinwarcrimes  putinhitler
59910,the incessant drumbeat of denigration of us and our foreign policies  combined with the puffery of  putin   i d say  tuckyorose is a perfect nickname for this traitor and his collaborators  
59921,humanity being attacked by a virus causing one of the worst  pandemics in its history  and now in the middle of this pandemic  humanity decides to kill each other in  ukraine    russia war  is it not crazy  instead of continuing the fight against the virus we wage war on us 
60166, unless the us    decides to lock heads with  russia or unless the opportunist  china plays some trick with taiwan  i don t see any more escalation in tensions from here on   come march  amp  it will be business as usual    stockmarkets  nifty
60262, russia and  russians should be banned from all international sports  their people need to know that having a mad dictator as a leader has consequences for all aspects of their culture 
61011,please do not make share memes of this current situation between ukraine   russia  remember it s the innocent civilians who are suffering     russiaukraineconflict  worldwar   wwiii  ukraine  russian  russia  putin  biden  stopwar  prayingforukraine  standwithukraine 
61269,let s see how long the world is going to watch this dictator  ukraine  russia 
61879,spectacular ukrainian celebrations in sumy   except they let off all of their fireworks at the same time    stopukrainianaggression  stopukrainianterrorism  standwithrussia     ukraine  russia  dpr  lpr  dnr  lpr  donbass  donbas  donetsk  lugansk                  
63195,a picture worth   words  wwiii ukraine  russiaukraineconflict nato putin 
63325,we will coordinate within  eu   nato and  g  today  we will table the full package of most massive sanctions against  russia  if we don t act with determination now  we will pay a much higher price in the future    foreign minister     
63331,so dan andrews is lighting up his empty city blue  amp  yellow in solidarity with  ukraine   maybe  moscow should light up in green and gold in solidarity with melbournians   auspol  auspol   springst 
66051,there is no  ukraine crisis   there is a  russia crisis    russiaukrainecrisis  russiainvadedukraine  russianinvasion  ukraineconflict  ukraina  russiaukraine 
66128,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
66477,people in ukraine gather to pray in the freezing cold and at the brink of war  very heart breaking   russiaukraineconflict  stopwar  russia  ukraina  ukrainerussie  stopwar 
66663, holodomor of     and now invasion by  russia as the legal successor to the  sovietunion   refers to history   ukrainian lives don t matter it seems 
66931,my heart break for you     ukraine  russiaukraineconflict  russia  putin  standwithukraine 
66988, ukraine  russia  at this critical moment  i call for an immediate ceasefire and the re establishment of the rule of law       we need restraint and reason      iit is high time to return to the path of dialogue and negotiations         united nations secretary general
67633,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
68205,servicemen of the  th brigade switch sides   it is expected some    of the armed forces of ukraine  will defect    stopukrainianaggression  stopukrainianterrorism  standwithrussia     ukraine  russia  dpr  lpr  dnr  lpr  donbass  donbas  donetsk  lugansk                  
68689,god help the good people of the  ukraine  my prayers and good wishes are with you tonight 
68827,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
68877, hungary a country with close ties with  russia said it will be  part of the joint  eu response    empr confirmed  sanctionrussianow
69300,black smoke was seen rising over the  ukrainian defense ministry intelligence headquarters in central  kyiv on thursday  
69544,i bet nato are wishing they listened to donald trump now    trump said a stronger nato provides a bulwark against russia   told nato leaders    to increase defense spending to   percent of gdp   trump  ukraine  nato
69589,this is my city  not  putin s    donetsk  ukraine september   
69797, ukraine roads  afghanistan sewers  all those fleeing deserve safety from the bombs and explosions  so why is the world ignoring one and grieving and offering safety to the other  religion  skin colour  resources  we are all human so why are we not all equal   wearesorry 
70298,reagan must be rolling in his grave doing  s with nancy at the way the  have surrendered their party and subjugated america to  putin  putinswar   makes my head spin   istandwithukraine 
70474,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
71106,when i asked  putin at apec   in sydney  what do you think of australia   is it what you expected   he replied  i never think of australia    russiaukraineconflict
71532,the double standards though    freepalestine  apartheid  usa  eu  russia  ukraine  internationallaw 
72081, do not despair    the misery that is now upon us is worth the passing of greed       wwiii  worldwar   china  russiaukraine 
72294, china bans online criticism of  russia  news outlets and social media accounts must ensure only officially approved comments are posted 
72845,kremlin  russia launched operation with aim of clearing  ukraine of nazis 
73107,please stop making and sharing memes of  ukrainerussiacrisis war is not a joke and definitely not something to laugh at  innocent children  amp  people are suffering  dying and losing their loved one  be sensitive  have some respect  amp  empathy   ukraine   saynotowar   prayingforpeace 
73121, ukraine is getting barbecued by putin   wwiii   
73644,i was jake sullivan s colleague at the clinton campaign  and i know half the senior people around biden and harris    and i m concerned as fuck tonight   interpret that as you will     ukraine  russianinvasion
74353,people suffers in the result of wars not politicians    worldwar   wwiii 
74636,a timely reminder    ministers in boris johnson s government received funding from donors linked to russia  rishi sunak  alok sharma  theresa villiers  mark pritchard were named in this report   ukraine
74680,  four maps that explain the russia ukraine conflict   ukraine  auspol     putin  russia 
74728,china  amp  russia against us  amp  europe   who s your winner         i mean the us couldn t even beat afghanistan over all those years  amp  during the trump years they went backwards technically in a big way    mind you     if it came to that    there would be no winners    wwiii
74811,hostomel    kyiv   russian helicopters   ukraine    russia 
75339, explain  nato     your provocation of  ukraine crisis is all yours  not  russia   you have been setting up military bases closer to  russia borders since     putin said stop  gorbachov said stop  yeltsin said dont come closer or war  last   years you  nato are the pariah      
