tweetcreatedts,australia,canada,china,india,nigeria,pakistan,poland,russia,uk,ukraine,usa
2/24/2022,-0.098047559,-0.100574128,-0.00759359,-0.086369734,-0.072357597,-0.114957917,-0.131077778,-0.074398582,-0.102637762,-0.148161677,-0.099561039
2/25/2022,-0.091019085,-0.030936682,-0.123246277,-0.075494206,-0.033128881,-0.105731556,-0.078032609,-0.153563256,-0.014139847,-0.075209016,-0.039810163
2/26/2022,-0.046142413,0.003441145,-0.095390698,0.00198855,0.092476386,-0.10729048,-0.071381557,-0.067247393,0.012240068,-0.038721504,0.002616558
2/27/2022,-0.040483106,-0.015250344,-0.145011667,-0.011349249,0.026488439,-0.093829078,-0.135025,-0.142421212,0.018695587,-0.133455249,-0.012980319
2/28/2022,-0.050813156,-0.015092509,0.002627848,-0.067705412,-0.016736504,-0.140383049,-0.071971484,-0.070077723,-0.042324645,-0.147480825,-0.080335036
3/1/2022,-0.076863702,-0.041337014,-0.077531731,-0.114111118,-0.099341241,-0.216723747,-0.158087608,-0.095356477,-0.070285222,-0.155445782,-0.083696564
3/2/2022,-0.109712322,-0.080691117,-0.080451402,-0.033015427,-0.042335304,-0.147399279,-0.224239686,-0.14122043,-0.095542889,-0.17243919,-0.065213445
3/3/2022,-0.068127699,-0.062976696,-0.047324887,-0.040119102,-0.053367259,-0.131905488,-0.13564968,-0.050213776,-0.021674277,-0.218475062,-0.076896424
3/4/2022,-0.07136517,-0.094811546,-0.113692093,-0.098812208,-0.080930332,-0.161107513,-0.047253093,-0.099351923,0.001980093,-0.300014629,-0.109378893
3/5/2022,-0.052940926,-0.039392811,-0.107792086,-0.036915342,0.063564353,-0.038498464,-0.041416606,-0.106407473,0.032087133,-0.179770664,-0.051384562
3/6/2022,-0.065843386,-0.06031672,-0.062533023,-0.059554512,0.013021667,-0.144072444,-0.161799271,-0.056288102,-0.051006267,-0.232627241,-0.067827441
3/7/2022,-0.024611627,-0.013565056,-0.039511898,-0.039364375,-0.050183543,-0.168726255,-0.04509519,-0.026261398,-0.024954655,-0.123044596,-0.039617027
3/8/2022,-0.038093118,0.021938796,-0.010395095,0.011331996,0.161134942,0.01627005,-0.092721802,-0.08406886,0.054524962,-0.084314567,-0.026516627
3/9/2022,-0.071631056,-0.086177851,-0.069974216,0.05122476,-0.063806844,-0.092045817,-0.109420791,-0.097014232,-0.083741903,-0.114641032,-0.11002917
3/10/2022,-0.069754654,-0.06860772,-0.149135842,-0.040934071,-0.072251852,-0.195670257,-0.098366431,-0.154680657,-0.078607022,-0.14893781,-0.101785842
3/11/2022,-0.113285863,-0.068674597,-0.057024735,-0.017432013,-0.237306184,0.016400146,-0.127801268,-0.128593478,-0.055101015,-0.173065499,-0.092197829
3/12/2022,-0.082268098,-0.0708713,-0.126962273,-0.099286616,-0.013033333,-0.130577381,-0.118833155,-0.085069421,-0.02152654,-0.14238089,-0.075121225
3/13/2022,-0.133594911,-0.14729081,-0.070259024,-0.131332825,-0.077478035,-0.188503043,-0.148165895,-0.130906335,-0.054506276,-0.143123297,-0.157840315
3/14/2022,-0.164770717,-0.104559478,-0.106524815,-0.127659538,-0.003745156,-0.199313534,-0.027115518,-0.240606098,-0.041884114,-0.116775713,-0.088550873
3/15/2022,-0.082017014,-0.01929019,-0.027836546,-0.09449621,-0.048268209,-0.112447966,-0.062633854,-0.207177365,0.022396819,-0.13594263,-0.049588449
3/16/2022,-0.101558994,-0.047702191,-0.078029461,-0.091962438,-0.091720532,-0.089401903,-0.171026071,-0.044847458,-0.017308361,-0.17953157,-0.044854311
3/17/2022,-0.065718223,0.022286668,0.012271296,-0.084114357,-0.008979516,-0.183709557,-0.100379056,-0.150056962,0.02078124,-0.105997732,-0.01759928
3/18/2022,-0.101107953,-0.044853309,-0.055849645,-0.096249716,-0.008223776,-0.091904554,-0.084735335,-0.066572452,-0.056969326,-0.153607006,-0.063248875
