,text
3072,this morning in kiev  russia  ukraine  putin  war 
9534,he called the was the worst case scenario   hungary  hungarian  dailynewshungary  ukraine  russia  war  military  diplomacy    
12233, ukraine   russia  ukraine  russia 
13909,we strongly condemn russia s unjustified attack on  ukraine   in these dark hours  our thoughts are with ukraine and the innocent women  men and children  as they face this unprovoked attack and fear for their lives   we will hold the kremlin accountable 
14261,there has not been a full scale ground war close to this level with a population where everyone has a phone  the images coming could be beyond anything weve seen in a live form  secondary trauma is real  please protect your mind even if that means logging off for a while  ukraine
26281,russian fighter jet is shot down by ukrainian air defense    nato  russiaukraineconflict  russia  kramatorsk  russian  ukraine  ukraina  ukrainerussiaconflict  ukrainerussia  ukrainerussiacrisis  worldwariii  worldwar  
34104,about     ethnic  hungarians live in  ukraine just over the border from  hungary  but those are not worthy of protection    or you are already planning  in cooperation with  putin  to invade  karpatalja and  liberate  them  
39040, russiaukraine tensions    russian equity market extends losses  index falls      russiaukraineconflict  russiaukrainecrisis 
39503, breaking  russian rts index plunges by nearly      russia  ukraine 
56847, orban has been a puppet of  putin when it came to foreign policy for years and he weakened the position of the eu whenever it wanted to punish  russia  now we see where this leads to  the eu and our  nato allies need to be stronger than ever to handle this crisis together 
63134,  is appalled by the events unfolding in  ukraine    we stand with ukrainian researchers and our member  an important part of our eurodoc family  we urge the  eu institutions to take all needed measures to protect ukrainian    researchers and citizens 
66784, nato allies condemn in the strongest possible terms  russia s horrifying attack on  ukraine  which is entirely unjustified  amp  unprovoked  our thoughts are with the people of ukraine  russia s actions pose a serious threat to euro atlantic security  
67303, m rkizay   the  hungarian prime minister is the biggest traitor of the west  and  putin s most important mistress   hungary  orb n  ukraine   
67752,        australia seeks to sanction   of  russia s parliament members   bbg  australia  there will be  further waves of sanctions  on russia
68883,nato statement  russia s actions pose a serious threat to euro atlantic security  and they will have geostrategic consequences    we are deploying additional defensive land and air forces to the eastern part of the alliance  as well as additional maritime assets   ukraine
69607,heavy nato swedish surveillance of belarus kaliningrad  danish plane monitoring entrance to baltic sea  track of global hawk over black sea shows pulling back from over ukraine as russian invasion got underway   russiaukraineconflict 
70320,we    strongly condemns  russia s unprovoked military attack against  ukraine  it endangers millions of innocent people  undermines the foundations of international order  amp  violates the  un charter    standwithukraine
72708,russian helicopters and gunfire in  ukraine       reportedly in the kyiv oblast     
75736,history keeps repeats itself  ukraine  stoprussianaggression  standingwithukraine  worldwar   wwiii  putin 
79995,russians tanks zapped  grisly video not for young eyes   but shows that the idea that russian heavy metal can roll into ukraine without trouble is a kremlin fantasy   not certain where this was shot    ukraine  putin   
81506,fighter jets are flying over  kyiv 
91983,not one way traffic  people also headed from  poland into  ukraine to fight  to go to family still there  
92683,video below shows russian helicopters near vyshgorod ukraine which is only  km from the capital of kyiv    initial reports also indicate that the ukrainian airforce mig  s are engaging russian airforce su  s over kyiv  per    ukraine  russia   knish  
94341, russia   ka   hokum b attack helicopter in apparent forced landing after suffering damage  reportedly north west of kiev  ukraine    
95975,can you believe it  it s already here   ukraine  russia 
96549,fellow historians  be a presence and lead  because you can  i m trying not to induce panic  please work to write pieces for media outlets  traditional and new  large and small  national and international  down in my feed  i ve tried to get things out responsibly   ukraine
104801,ukrainian soldier  we are under heavy bombardment   mom   dad   i love you       ukraine russia  russian  ukrainian   ukraine 
105040,article   consultations have taken place   as a result   nato is  deploying additional defensive land and air forces to the eastern part of the alliance  as well as additional maritime assets   to  respond to all contingencies   
105069,presumably  the moment of the fall of an unknown aircraft in  ukraine  ucrania 
115126,a picture is worth a thousand words    stopwar  ukraine  russia  nato  putin  worldwar   wwiii  russiaukraineconflict 
115538,reporter and crew laying down for their lives as shells hit just few feets from them  location  possibly near donetsk        help please    worldwar   russiaukraineconflict  ukraine  ukrainerussiacrisis  russiaukraine 
124911,putin wants to create a buffer zone between ukraine and russia  says vishnu prakash  former diplomat watch india today global round table with     russiaukraineconflict 
127344,it took more than   hours for  hungary pm  orban to condemn russia s military action   in a video posted on his facebook page  he also said that hungary must stay out of this war  which is why it is not deploying troops or military equipment to  ukraine
128209,double standard   putin  ukraine  worldwar  
134646,but did  hungary really say  non  hungarian   refugees  because in other media the offer on aid has been qualified to ppl with  hungary citizenship only  cca  k in  ukraine  
135603, ukraine used  javelin missiles and neutralized a convoy of    russian t   tanks near hluhiv   adviser to the commander of the land forces
146860,eu official confirms that the eu s visa facilitation agreement with  russia is on the table   ukraine
151207,this is what russia is doing to ukraine   let the world know that they are bombing civilians   ukraina  russiaukraineconflict 
153061,memers be like    russiaukraineconflict  worldwar   wwiii  putin  russiaukraine china taiwan america united nations trump putin nato 
154978,in  novosibirsk   russia  local residents are marching in  protest against the russian invasion of  ukraine   
165811,map of  ukraine locating areas where explosions  strikes and fighting have been reported and regions where russian forces entered the country  updated as of   gmt  february    afpgraphics  
