,text
77,voices from  russia   waking up to the news  many russians said they felt shocked and bewildered by mr  putin s decision to attack ukraine  anton dolin  the country s leading film critic  said that war with ukraine is  the most horrible and shameful event of my life   
1572, russian troops crossing into ukraine from occupied crimea     ukraine  russia   
10067,is putin hitler       ukraine  ukrainerussiacrisis  putin  russia 
13487,statement from aotearoa new zealand minister of foreign affairs         strongly supports  ukraine s sovereignty and territorial integrity  russia s actions  violate international law and cut across diplomatic efforts to find a peaceful resolution   
17957,   attention pls              ukraine  russiaukraineconflict  russia   
18707,      we strongly condemn russia s unjustified attack on  ukraine  and we will hold the kremlin accountable    roberta metsola 
18795,there has not been a full scale ground war close to this level with a population where everyone has a phone  the images coming could be beyond anything weve seen in a live form  secondary trauma is real  please protect your mind even if that means logging off for a while  ukraine
18957,i m russian  i m scared of what our president does  all my dreams about life fade as long as war escolates  no one ever asked me or any other citizen if we wanted it  ukraine is not an enemy  and i scorn the idea of war   russia  ukraine           
22939,putin s speech was interesting  stuff he mentions isn t getting any airplay in western media his claims    us bolstering ukraine s military capaity incl  mid range  km  missiles   ukraine govt a western neo nazi puppet state full of corruption  ukraine 
27314,who thinks opportunist spunk bubble  tries to settle with  on the quiet whilst the   world s attention is on   ukrainerussiacrisis
28254,i wonder if intelsat is gonna suddenly drop all the intelsat   russian channels    intelsat   cband  intelsat  russiaukraineconflict  apsattv
28348,eu announces plans for  massive  sanctions against russia following invasion of  ukraine  innocent men  women and children are dying  these are dark hours  says  
29228,    putin regime rocket fell short in a home in mayskoe village in belgorod region   near the border with  ukraine   russia 
31628, breaking    russian vdv forces confirmed in control of  kyiv s airport 
33909, if he was the president today   putin won t even dare to invade  ukrain today  missing  trump big time 
36072,calm down  you won t get drafted smh  this ain t vietnam  war isn t about humans running on the battlefield with guns anymore  technology has improved  we are useless    wwiii
37046,so world war   has started  and guess who are affected by this    the innocent civilians  wwiii  russiaukraineconflict  wwiii 
43930,the reality of biden vs putin  world watching putin  russiaukraineconflict with a possibility of  worldwar    russia  ukraine  wwiii 
48267, boris probably wants to hold another downing st party to mark the start of this war   ukrainerussiaconflict  putin
48985,here are some ukrainian artists to support if you have the ability to        drop more names below  ukraine  nftcollectors                   
49228,while  russia launches military attacks on  ukraine   china remains relatively low key with its official position on the crisis  i talked to   and  about what might be behind  beijing s recent comments  
51362, so what will  be doing   russia 
51733,mainstream media goes global with none of their business   media declares war on none of their business  russia  media  journalism  ukraine  kenya 
52122, china bans online criticism of  russia  news outlets and social media accounts must ensure only officially approved comments are posted 
52401,repost  ukraine  putin  wwiii 
55798,the human cost    refugees from the baltic states after occupation by russia in   fleeing towards poland  will they be next  punch cartoon by e h shepard  ukraine  russia  ukraineinvasion  russiaukraine  estonia  latvia  lithuania 
