,text
90,rt  spread and share  you can help ukraine  ukraine  russia 
4735,the tanks went to kharkiv and entered the sumy region of  ukraine 
5881,image from the ukrainian president s office sent to cnn s  following the loud explosions the team heard on the ground in  kyiv   ukraine 
7142,spread and share  you can help ukraine  ukraine  russia 
9162,spread and share  you can help ukraine  ukraine  russia 
10026,  air raid sirens in my home city lviv in  ukraine  lviv is located approx   miles from poland  
10475,rumours that  zelensky has already asked  russia for ceasefire due to devastating impact suffered during first hrs of attack   ukraine army seems totally blindsided 
10875,together with  ukraine    
11601,so are clubs taking another knee for  ukraine  or  russia  what s the deal 
12135, putin did not stop after georgia  he did not stop after crimea  and he sure as hell won t stop after  ukraine     unless the west lets him get away  be under no illusion  putin s ultimate goal is to revive the old  halcyon days  of the ussr   istandwithukraine 
12239,rt  spread and share  you can help ukraine  ukraine  russia 
12562,spread and share  you can help ukraine  ukraine  russia 
13125,in notting hill   london   uk  some   people joined a rally outside the russian embassy compound tonight in  protest against  russia s aggression towards  ukraine  
18937,vinnytsia  warehouses of the ukrainian armed forces    ukraine  russia 
19122,image from the ukrainian president s office sent to cnn s  following the loud explosions the team heard on the ground in  kyiv   ukraine 
19358,image from the ukrainian president s office sent to cnn s  following the loud explosions the team heard on the ground in  kyiv   ukraine 
19459,i woke up from explosions this night  russia has invaded to my country ukraine      it s some kind of nightmare  i pray for all ukrainians  pls stay safe   all commissions are closed at the moment  all cm that  i took will finish as soon as i get home     ukraine  ukraineartist
19600,another war  pandemic was not enough  time to learn to sort our issues in conscious and sensible ways  time for a  consciousplanet  let us use common factor of soil to come together beyond all divisions   unfortunately  lives will be lost     sg  ukraine  russiaukraineconflict
19830,one very concerning development is  russia has carried out a few targeted operations uncomfortably close to the polish border  this is the danger of miscalculation  amp  human error that can quickly lead to a catastrophic escalation
21367,     putin acts like  hitler or  stalin  there will be no return of the  ussr    ukraine will win   democracy will win 
21639,     putin acts like  hitler or  stalin  there will be no return of the  ussr    ukraine will win   democracy will win 
21883, russia shelled a military unit on the territory of kyiv  there are victims  according to the service for emergency situations of  ukraine  
21931,     putin acts like  hitler or  stalin  there will be no return of the  ussr    ukraine will win   democracy will win 
22569, ukraine explosion fires started by russian airstrike set off chain reaction at luhansk power plant ukrainian   russiaukraineconflict ukraine  russian mariupol  mariupol  ukrainerussiaconflict kharkiv kyiv odessa  kharkiv 
22937,vinnytsia  warehouses of the ukrainian armed forces    ukraine  russia 
22944,footage of russian forces trying to advance towards shchastya  luhansk region  russia  luhansk  ukraine 
23019,president  moonjaein said thursday that korea will join international sanctions against  russia as he expressed regret over russia s attack on  ukraine  saying any use of armed force causing human casualties cannot be justified  
24676,shocking in every aspect  we live in a new era  the  russia problem will overshadow anything for many years  or there is change in russia  or decades  now we must help ukraine and ukrainians  amp  make the war as costly as possible to russia 
28702,      putin acts like  hitler  amp   stalin  there will be no return of the  ussr    ukraine will win   democracy will win 
29474,     putin acts like  hitler  amp   stalin  there will be no return of the  ussr    ukraine will win   democracy will win 
29696,      putin acts like  hitler  amp   stalin  there will be no return of the  ussr    ukraine will win   democracy will win 
29932,      putin acts like  hitler  amp   stalin  there will be no return of the  ussr    ukraine will win   democracy will win 
30562,      putin acts like  hitler  amp   stalin  there will be no return of the  ussr    ukraine will win   democracy will win 
33706,in the coming hours  poland will open eight reception centres for ukrainian refugees at the polish ukrainian border  in the lubelskie and podkarpackie provinces  south eastern part of the country  a deputy interior minister announced on thursday morning    ukraine  russia  atack
35004,russia closed airspace along the northeast border of ukraine to civil aviation   notam  ukraine  russia  war  wojna 
35888,i m russian  i m scared of what our president does  all my dreams about life fade as long as war escolates  no one ever asked me or any other citizen if we wanted it  ukraine is not an enemy  and i scorn the idea of war   russia  ukraine           
38410,series of explosions heard in belgorod province of russia   witness  more explosions heard in ukraine s kyiv   reuters witness   ukraine  russia  nato  breaking russia
39186,spread and share  you can help ukraine  ukraine  russia 
42301,china  india  and japan all have special historical relationships with  russia that constrain their reactions to the conflict in  ukraine  so  how are they positioning themselves       
42877,there are abandoned  russian tanks along the  ukrainian border  a number of soldiers did not want to cross the border and fled  without barricading troops  the  russians are not fighting very bravely   empr  ukraine  russia  standwithukraine
45930,i wholeheartedly support  ukraine s sovereignty and territorial integrity  we are with you      stoprussianaggression  russiainvadedukraine  standwithukraine 
47894,  volodymyr zelensky stated that  ukraine is breaking off diplomatic relations with  russia  the armed forces are fighting hard  mobilization has been announced in the country 
49486,smoke rises in kharkiv  the northeastern city of  ukraine  
50804,one very concerning development is  russia has carried out a few targeted operations uncomfortably close to the polish border  this is the danger of miscalculation  amp  human error that can quickly lead to a catastrophic escalation
51312,european news says that russia attacked ukraine  russian news says they are protecting those areas from genocide  due to the decision of those regions to secede from ukraine   as i m russian and lived there for   years  i know how many lies in russian news    russia  war
52028,one very concerning development is  russia has carried out a few targeted operations uncomfortably close to the polish border  this is the danger of miscalculation  amp  human error that can quickly lead to a catastrophic escalation
54307,update  my friend in  ukraine confirmed that his local airport in ivano frankivsk has been bombed  wtf  this is western ukraine  right near poland  
56941,fuck   fuck  putin
57118,people in ukraine gather to pray in the freezing cold and at the brink of war  very heart breaking   russiaukraineconflict  stopwar  russia  ukraina  ukrainerussie  stopwar 
60194,long awaited important step   ukraine has broken off diplomatic ties with  russia  already both de facto and de jure  the day russia left us no other option but to fight back at all fronts   stoprussia
60448,a video of a ukrainian soldiers attack it by  russia aircraft     ukrainerussiacrisis   ukraine 
61327,   russia launched a cruise missile attack on brovary  this is a suburb of  kyiv  
61422,   russia launched a cruise missile attack on brovary  this is a suburb of  kyiv  
61999,video evidence of a likely attack from the territory of  belarus  near kalinkovichi   reportedly from that point    helicopters flew towards  ukraine   this information needs verification  
62402,austrian chancellor karl nehammer confirms that  nordstream  is frozen due to the  ukraine issue  tass 
63777, ukraine  kyiv  kiev  sondaki ka  ukraina   a video taken by a ukrainian soldier from his phone in the morning   koroche  we lost with gradov   mom  dad  i love you     
65588,rocket hit at a warehouse in odessa  ukraine 
66321,reports from mariupol that there are barrages of grad rockets incoming    ukraine  russia  ukrainerussiaconflict  putin  biden
67525, urgent  share   today   feb     downing street london    the world must hear our voices    uk  amp   nato must act     russia has launched a full scale war against  ukraine  many cities incl kyiv  mariupol  kharkiv are under strikes     stoprussianaggression  standwithukraine 
69513, breaking  newsmap  the ukrainian front in kherson totally collapsed  russian troops reached the dnepr and do not face any resistance  i geolocated them   km inside ukraine  the ukrainian army says the situation is  difficult   understatement of the year  this is unbelievable  
69739,super brave statement by novaya gazeta s nobel prize laureate dmitri muratov   we do not consider  ukraine as an enemy nor the ukrainian language as the language of an enemy  and we never will    russia 
70487,statement by the north atlantic council on  russia s attack on ukraine  we condemn in the strongest possible terms  russia s horrifying attack on  ukraine  we also condemn  belarus for enabling this attack 
73345,who should be blamed for the wars in  ukraine           and  georgia      of course those coward governments in  berlin    and  paris    who declined our euro atlantic aspirations in  bucharest     what can your supporting tweets  sweet words  and  deep concerns  do now 
73631,solidarity for ukraine and its people                                       ukraine  prayukraine  peace                                    ukraine  prayukraine  peace 
74769, russiaukraineconflict  russiaukraineconflict civilian killed   blown out car windows  and craters in the streets  ukraine  russiaukraine   worldwar 
77146,downed russian armored vehicles at the district in kharkov  ukraine 
77636,hedgehog star ii  ukrainian colors   i designed and folded this spiked origami star bearing ukrainian national colors last monday night  after putin s speech    origami  modularorigami  unitorigami  origamistar  star  ukraine  ukrainian  standwithukraine 
78773,  the only nazi here are the russians   russia  nazi  murders
79576,ukraine at war   war  wojna  putin  putinswar  putinatwar  putinonthemarch 
79735,putin is a murderer    standwithukraine  ukrainianwillresist       putin  war  wojna  hitler  russiainvadedukraine 
81367,russian chopper stung by a stinger  the war  so far  is not going as well as perhaps the kremlin had hoped  the ukrainian army are not syrian farmers  they have good western kit  and lo  war is never easy   putin pleas note    
81569,latest updates on russian invasion in  ukraine   killed  wounded and missing civilians and servicemen  whole cities are under attack    standwithukraine 
81814,  countries of  nato have decided to put the alliance s defense plans into action   secretary general stoltenberg 
85165,footage of russian forces trying to advance towards shchastya  luhansk region  russia  luhansk  ukraine 
86115,the world is watching how reckless and deadly imperialism is  not just for  ukraine but the whole world  let history be a lesson to not be repeated 
88658,downed russian ka   helicopter in ukraine  ukraine  russia 
88990, russia   ka   hokum b attack helicopter in apparent forced landing after suffering damage  reportedly north west of kiev  ukraine    
89145,i demand  russia to be cut from  swift system immediately  this is not a fucking banking decion but a must  it must be done immediately and  all usd and foreign assets newd to be frozen       this is a must that need to happen today not tomorrow  tomorrow is late 
89716,      soldiers were killed after a  ukraine army plane went down near kyiv  reason unclear     russia  putin 
90584, czech president milos zeman   russia has committed a crime against humanity  crazy people should be isolated  russia will face isolation and loneliness 
90585,spread and share  you can help ukraine  ukraine  russia 
91376,     judy asks  is belarus s sovereignty over   belarus is instrumental in russia s ongoing military attack on  ukraine   developments since    amp  upcoming changes to belarus s constitution reflect lukashenko s dependence on putin     experts comment      
91963,a  russianinvasion convoy destroyed by  ukraine armed forces in harkov 
92046,russia has declared war on ukraine  bombs are being dropped on countless settlements with unarmed civilians ukraine announced that dozens of its citizens lost their lives  there is no winner in the war  our hearts are with ukraine     ukraine  russia  ukrayna  rusya 
94997,polish ukrainian  border crossings remain open and are ready to accept  refugees from  ukraine  according to polish authorities  information for ukrainians regarding entry to pl are available on the official governmental website  in ua  pl  eng and rus   
96441,   belarusians who are currently in  ukraine can arrive at any ukrainian polish border crossing and apply for international protection   poland is preparing to receive from   to   million refugees  covid restrictions have been lifted for them 
96725, ukraine     somewhere near  kyiv a ukrainian mig    low flying  is taking on a russian su    
97480, russia pounding  kharkiv city with smerch rockets 
97786, kharkiv   captured  z    ukraine    russia 
98851,ukrainian anti air defense action on a russian plane  a few hours ago     ukraine  russia 
98906,world war              russiaukraine  ukraine                
100269,flight of cruise missiles  caliber  over  ukraine  
102465,ukrainian anti air defense action on a russian plane  a few hours ago     ukraine  russia 
105204, ukraine     more russian losses in the  kharkiv region  
110809, putin is   century  hitler
112683,  the sirens sounded again in kyiv   ukrainian media are reporting about a possible bombing of  kyiv in the near future   here is the current map of bomb shelters in kiev 
113395,the defense ministry reports that as of   p m    russian armed forces had carried out more than   strikes with  kalibr  cruise missiles  aircraft and artillery on civilian and military infrastructure facilities in  ukraine 
113400,  the sirens sounded again in kyiv   ukrainian media are reporting about a possible bombing of  kyiv in the near future   here is the current map of bomb shelters in kiev 
113472,what can i do to help ukraine right now  a thread   updated versions of this thread will also appear here    ukraine  russianreinvasioninukraine  russianukrainianwar  ukraina           war  wojna  solidarnizukrain   ukraina   solidarno  zukrain 
114802, see  russian attacks on ukraine continue   in this video you see the helicopter army flying over the cities    ukraine  ucraniarussia  ukrainerussiaconflict  news  russia  ukraine  ucrania  kyiv  putin  war  nato  otan 
115391,bruh what s wrong with people  ukrainian people are dying  think about them   wojna  wwiii  war  covid   putin  russia  ukraine 
116800,polish  amp  uk governments advising their citizens not to travel to  ukraine  ukraina          
117467, ukraine     another angle of the missile strike in  ivanofrankivsk  massive explosion following the hit   donbass  odessa  kramatorsk  donbass  kiev  kyiv 
121605, russia n missile strikes on  melitopol  zaporizhzhia region  south  ukraine   putin started the biggest war in europe since     
121684, breaking   a father who sent his family to a safe zone bid farewell to his little girl and stayed behind to fight        ukraine  ukraina  russia  putin 
123003,the north atlantic council have addressed a request by bulgaria  the czech republic  estonia  latvia  lithuania  poland  romania and slovakia to hold urgent consultations under article   of the washington treaty  since  nato s creation in    article   has been invoked   times
127646,the streets in ukraine today  it must be so scary for the people    russiaukraineconflict  nato  kharkiv  kyiv  stopwar  worldwar   breaking  russiaukraine  russia  ukraine 
128023,if the western world really cared for ukraine they wouldn t wait until now to help them fight russia   russia invaded ukraine   years ago  let s not forget that  russiaukraineconflict  worldwar   russiaukrainewar  breaking  russiaukraine
128954,wherever you are its important that you put ukraine in your prayers  death  injuries              ukraine  russiaukraineconflict  putin  russiaukraine 
129056,in novosibirsk   russia  people went out to the streets to protest against their leadership attacking  ukraine  some people have been detained by police  the rest soon left 
129412, ukraine  putin  stalin there s no excuse for russian aggression on ukraine except insanity  
129500,   breaking   a father who sent his family to a safe zone bid farewell to his little girl and stayed behind to fight        ukraine  ukraina  russia  putin  wwiii  worldwar   ukrainerussie  russiaukraineconflict  russiainvadedukraine 
130421,appeal to   to instruct   to evacuate all stranded indian students from ukraine and shift them to russia by road and airlift them from russia airport  since russia has good relations with india this will might work  ukrainerussia
133284,prime minister  in  sejm    today  it must be emphasized that  ukraine is fighting not only for its own independence and freedom  but also fights for the freedom of the whole of  europe  
134089, russia n missile strikes on  melitopol  zaporizhzhia region  south  ukraine   putin started the biggest war in europe since     
134777,my neighbourhood in kyiv  just received the video   ukraine  ukraineinvasion 
138627,most watched flight on fr  right now    a us global hawk uav returning to nas sigonella in sicily from  ukraine  amp  the black sea      us air force rq   global hawk     forte  
139629,russian tanks zapped in ukraine     this is getting bloody      ukrainerussia  nato  worldwar   wwiii  worldwariii  putin  weltkrieg  ukraine 
140485,  information for foreigners in ukraine    do not share photos videos of ukrainian army moving around  do not uncover their plans and do not talk to people on the street  this all might affect our army   rt and spread the message  standwithukraine  ukraine  breaking
140674,absolutely shocking footage of a russian warplanes firing missiles into a residential area in  ukraine      a child screams in terror    breaking  russiaukraine  invasion   conflict  war    
141068,   breaking   according to the center for defense strategies in ukraine  more than   russian soldiers died    ukraine  russia  russiaukrainecrisis  ukraineconflict  ukrainerussia  worldwar  
141802,cut  russia off from  swift now
142147,ukraine shot down a russian air force an    rf      russia  ukraine  war 
143013,pic    four russian soldiers captured by ukraine  pic     over a dozen ukrainian soldiers captured by russia    russiaukraineconflict 
146177, ukrainian defenders  captured  russian occupiers from unit   of the yampol  motorized rifle regiment   russianwarcrimes    putin  mass murdrer has sent those young men to killing ukrainians in ukraine  every hour  more times than the russian occupiers  they become  cargo  
146924,ukrainian brave woman arguing russian soldier in  kherson   russia  ukraine 
146965, ukrainian defenders  captured  russian occupiers from unit   of the yampol  motorized rifle regiment   russianwarcrimes    putin  mass murdrer has sent those young men to killing ukrainians in ukraine  every hour  more times than the russian occupiers  they become  cargo  
148341,please follow us at  most of us are on the ground in  kyiv working to provide you with the latest news  it s extremely stressful  no one knows where it is safe to be  or whether there will be more strikes and where  and russian troops are moving from the north  
150493,look at this brave woman who openly asks a russian soldier   why did you come to our country    this is henichesk  a port city along the sea of azov in kherson oblast of southern  ukraine  
150600,statement by the north atlantic council on russia s attack on ukraine   nato    ukraine       stoprussianaggression
150838,st  petersburg now  russia             putinisawarcriminal  russiainvadedukraine 
152661,ukraine still fighting     ukraine   ukrainewillresist   ukrainefights 
153084,  pray for  ukraine  amp  conversion of  putin  russian society but remember that  russia have it s agents who desinform in media  desinform world about for ex vacciness  covid  putin is a communist he is not conservative he don t respect  human rights   war
154625,in  novosibirsk   russia  local residents are marching in  protest against the russian invasion of  ukraine   
155660,please do not make share memes of this current situation between ukraine   russia  remember it s the innocent civilians who are suffering     russiaukraineconflict  worldwar   wwiii  ukraine  russian  russia  putin  biden  stopwar  prayingforukraine  standwithukraine 
156304,left and anarchist protestors against the war in  ukraine were detained in  moscow despite no legal permission required for such actions  repressions  anarchism 
156703, ukraine     thousands out in  tbilisi   georgia     to protest against the  kremlin s invasion 
159641,clashes now in chornobyl exclusion zone near the radioactive waste storages  via   ukraine 
166454,putin s hometown protesting his war against  ukraine  st   petersburg now   protest  putin 
