,text
19,the world must act immediately    ukraine is at stake   to do list     devastating sanctions on  russia now  including swift    fully isolate russia by all means  in all formats    weapons  equipment for ukraine    financial assistance    humanitarian assistance
85,despite all the threats and warnings  the tragic reality is world leaders are impotent against warmonger putin   as  russia invades  ukraine    china will be watching closely   as  of course  it has a similar intent on taiwan    
231,if anyone wants to know why we need to devalue  crudeoil here it is   putin balls have swelled in line with the price of oil  it wasn t that long ago he was asking the  world for help     ukraine  kiev  kyiv  ukrainian
1059,air raid sirens sounding in keiv  russian army released videos of dead ukrainian soldiers on national tv  multiple air bases and military installations targetted  people running away from capital city   ukraina  russia  russiaukrainecrisis 
1150,    graphic video      aftermath of russian bombardment on uman  ukraine  cherkasy oblast    child killed    russia  ukraine 
1386,usa trying to help ukraine from another continent  russiaukraineconflict  wwiii   putin 
1483, democratic party  amp  its  media regularly compared us president  trump to a  nazi or  hitler    canada  justintrudeau declared martial law  amp  called a jewish mp a nazi  amp  stole property   crickets    nancypelosi s latest propaganda  calling  putin  hitler    
1528,an apartment building in chuhuiv  south of kharkiv after the morning attack by  russia   ukraine  
1878,massive explosion  probably missile attack  in the northern simi region of ukraine  russia claims ukrainian air defence system has been neutralized and hundreds of ukraine military personnel are killed in action   kyiv  ukraina  ukrainerussie  russiaukrainecrisis  ukriane  russia 
1973,footage of the airport bombing in ivano frankivsk   ukraine  russia 
2096,this was reportedly filmed in  chuhuiiv   kharkiv region  east  ukraine  results of a missile strike by  russia s armed forces   
2201,an apartment building in chuhuiv  south of kharkiv after the morning attack by  russia   ukraine  
2255,footage of the airport bombing in ivano frankivsk   ukraine  russia 
2321, estonia unequivocally condemns  russia s military attack on  ukraine and we have decided to launch  nato consultations under article   of the north atlantic treaty with latvia  lithuania  poland and other allies    
2410,a day of shame   with the attack on  ukraine  russia breaks with the most elementary rules of the international order  the world community will not forget russia this day of shame  we will respond together with our partners  all our solidarity goes to ukraine  
3854,rt  spread and share  you can help ukraine  ukraine  russia 
3863,thursday will not be a random day for pm khan to have a diplomatic speech as he is expected to be measured and calculated in his words  the world is watching us  i report    moscow   russia  ukraine  pmikinrussia   
3880,an apartment building in chuhuiv  south of kharkiv after the morning attack by  russia   ukraine  
3980,we also need to grasp the limits of  sanctions  they won t push  russia out of ukraine  just as they aren t forcing n korea stop building nukes   instead  their goal is to prevent the problem from becoming even worse by imposing costs  that is  nk won t stop building nukes    
4606, this is how is how it begins tom  ww   and we know from history that many countries will only join in when they have to  when it s too late  as it is now for  ukraine
4876,an apartment building in chuhuiv  south of kharkiv after the morning attack by  russia   ukraine  
4961,evacuation of residents has been announced in  luhansk region  people are asked  if possible  to go in the direction of the dnipro   empr unconfirmed  ukraine
5029,i came to meet her in  ukraine  and it was one of the happiest days to finally hold her again   amp  to see our son in person   we got  married in november   amp  have been in the process of getting her documents to leave ukraine  currently she has no valid national id nor passport     
5065, ukraine     russian missile slamming into the airport of  ivanofrankivsk 
5168,the pm of estonia  spelling out what russia s attack on  ukraine really means  
5199,stop praying for  ukraine   send help 
5288,all of this is because one man  one single man  is getting old  feeling increasingly impotent  and there s not enough botox in the world to keep him from facing his own mortality  grotesque   ukraine
5397,me seeing russia invade the  ukraine   
5446,evacuation of residents has been announced in  luhansk region  people are asked  if possible  to go in the direction of the dnipro   empr unconfirmed  ukraine
5730,a cruise missile fired by the russian army fell on kiev  ukraine  russia  
5788,i don t like political but i should to inform you what russia is invading in ukraine  for me it s very important because i m ukrainian  i live in ukraine  i really hope everything will be ok     slava ukraini      ukraina  kyiv  ukraine  ukrainerussie
5827,woman left bloodied after apartment airstrike that hit an apartment complex in  ukraine  russia conflict 
5989, ukraine     missile debris stuck in a pavement in  kyiv  
5999, ukrainians ask  nato to bring their forces to  ukraine
6505,it would appear that putin is both a liar and a warmonger  but referring to his war as  de nazification  does demonstrate an ability in comic irony  hopefully  ukraine will prevail 
6542,people flock to leave  kyiv as russian president vladimir putin commenced an attack on  ukraine overnight  with explosions reported in multiple cities      
6655, trustpilotreview has a great impact on improving your business by increasing the  seo ranking in search engines  buy here     ukraine  putin  kyiv  nato  wwiii  datascience   daysofcode  python  programming  developer  cybersecurity  ddos  datascience 
6920,finland   poland   latvia   lithuania   estonia   hungary   czechoslovakia   georgia    ukraine     russia doing what its always done   invade its neighbours   the modern imperialists   putinswar
7042,first blows of retaliation   ukraine has claimed it has shot   russian jets as the  first blood  of the war   the war intensifies as both sides stand strong against each other  and hundreds of troops have reportedly been martyred already    russiaukraineconflict  putin  zelensky 
7491,i fucking dare  russia to ever again accuse  ukraine of nazism    putin   hitler 
7917, russia invaded  ukraine  bombing strategic objects in a different cities of my country   putinhuilo
8281,just in  volyn region city lutsk   information about explosions  odesa   locator explosion near the airport zaporozhye   explosion near the airport chernihiv region the village of nikolaevka of the novgorod siversky area   observing hardware comes in from  russia
8364,i ve just signed the  open letter telling  to launch an inquiry into the influence of putin linked money in uk politics  please sign it too    russia
8673,just in  volyn region city lutsk   information about explosions  odesa   locator explosion near the airport zaporozhye   explosion near the airport chernihiv region the village of nikolaevka of the novgorod siversky area   observing hardware comes in from  russia
8776,just in  volyn region city lutsk   information about explosions  odesa   locator explosion near the airport zaporozhye   explosion near the airport chernihiv region the village of nikolaevka of the novgorod siversky area   observing hardware comes in from  russia
9143,french president macron  calls on russia to immediately stop its military actions in ukraine   rtrs   ukraine  russia  ukrainerussiacrisis
9626,people hiding in kyiv metro  ukraine 
9676, russian mlrs launch being fired towards  ukraine  reportedly from belgorod oblast  
9721,  presenting  at six live from kyiv   ukraine 
9758,   ukraine s police    dead    injured    missing as a result of  russia s attack in  odesa region   podolsk   standwithukraine  ukrainianswillresist
10044, estonia unequivocally condemns  russia s military attack on  ukraine and we have decided to launch  nato consultations under article   of the north atlantic treaty with latvia  lithuania  poland and other allies    
10068, ukraine voted in   to determine its governance  amp  destiny as an  independent sovereign nation  therefore give no quarter to imperialism no matter where it comes from                     istandwithukraine 
10413,the u s    gov bombs and kills innocent civilians all over the world  amp  has killed literally millions of people in east asia  amp  the middle east through phony invasions  now they want to get on their moral high horse when it comes to russia              russia  ukraine  ukrainerussie
10463,people hiding in kyiv metro  ukraine 
10809, happeningnow massive traffic jam seen leaving the center of  kyiv headed west   ukraine  breaking 
10845,chinese embassy in  ukraine issued an alert thursday to remind chinese nationals and enterprises to keep calm and ensure personal safety  advising them to stay home   file pic  
